authors|year|title|venue|download-link|image|award|slug
Beneteau, E., Hiniker, A., Tench, B., Ibrahim, S. B., & Pratt, W. |2024| Aligned Co-Design: An Interdependent, Multi-Modal Method for People with Motor and Communication Disabilities|International Journal of Human-Computer Interaction, 1-19||wix:image://v1/a0f093_3e1d31a39dea47078d5b693c72013883~mv2.png/acd.png#originWidth=872&originHeight=633||***
Baughan, A., Tian, G., Shekar, P., Zhang, A., and Hiniker, A.|2024|A Temporal Model for Supporting Hard Conversations Online Through Design|Proceedings of the ACM on Human-Computer Interaction (CSCW, to appear)|https://faculty.washington.edu/alexisr/HardConversationsDesign.pdf|wix:image://v1/a0f093_badc9528c06d4be6acc0121794d22316~mv2.png/temporalModel.png#originWidth=739&originHeight=333||HardConversationsDesign
Kim, J., Wolfe, R., Chordia, I., Davis, K., and Hiniker, A.|2024|Sharing, Not Showing Off: How BeReal Approaches Authentic Self-Presentation on Social Media Through Its Design|Proceedings of the ACM on Human-Computer Interaction (CSCW, to appear)|https://faculty.washington.edu/alexisr/BeReal.pdf|wix:image://v1/a0f093_23d4f7a2d6c44326b39ea3762a56edc3~mv2.png/beReal.png#originWidth=900&originHeight=600||BeReal
Wolfe, R., Dangol, A., Howe, B., and Hiniker, A.|2024|Representation Bias of Adolescents in AI: A Bilingual, Bicultural Study|Proceedings of the 2024 AAAI/ACM Conference on AI, Ethics, and Society (to appear)|https://faculty.washington.edu/alexisr/TeenBias.pdf|wix:image://v1/a0f093_31cd370062754959af0bf4d96c04c9b6~mv2.png/teenBIas.png#originWidth=757&originHeight=468||TeenBias
Wolfe, R., Dangol, A., Hiniker, A., and Howe, W..|2024|Dataset Scale and Societal Consistency Mediate Facial Impression Bias in Vision-Language AI|Proceedings of the 2024 AAAI/ACM Conference on AI, Ethics, and Society (to appear)|https://faculty.washington.edu/alexisr/FacialImpressionBias.pdf|wix:image://v1/a0f093_a0dbe55e46604c43b394d33a0e80d4d4~mv2.png/omi_examples.png#originWidth=1694&originHeight=1066||FacialImpressionBias
Wolfe, R., Hiniker, A., and Howe, W.|2024|ML-EAT: A Multilevel Embedding Association Test for Interpretable and Transparent Social Science| Proceedings of the 2024 AAAI/ACM Conference on AI, Ethics, and Society (to appear)|https://faculty.washington.edu/alexisr/MLEAT.pdf|wix:image://v1/a0f093_59e7bb6236dd4af2aa6fd56ad430c1b0~mv2.png/mleat_process.png#originWidth=1886&originHeight=1172||MLEAT
Chordia, I., Kim, J., Liu, Z., Park, H., Garrett, L., Erete, S., Le Dantec, C., Yip, J., and Hiniker, A.|2024|Tuning into the World: Designing Community Safety Technologies to Reduce Dysfunctional Fear of Crime|In Proceedings of the 2024 ACM Conference on Designing Interactive Systems (DIS ’24, to appear)|https://faculty.washington.edu/alexisr/functionalFear.pdf|wix:image://v1/a0f093_0501bd82c53e43639530a5e26bb66702~mv2.png/safetyDesigns.png#originWidth=560&originHeight=516||functionalFear
Baughan, A., Fu, Y., Izenman, E., Schwamm, S., Alsabeh, D., Powell, N., Hunt, E., Rich, M., Bickham, D., Radesky, J., and Hiniker, A.|2024|Investigating Attention and Normative Dissociation in Children's Online Social Games|In Proceedings of the 23rd Annual ACM Interaction Design and Children Conference (IDC ‘24). Acceptance rate: 29%|https://faculty.washington.edu/alexisr/kidsGamesDissociation.pdf|wix:image://v1/a0f093_ddfa5708e2d6480a99010a0b3566b60e~mv2.png/traversing.png#originWidth=1043&originHeight=560||kidsGamesDissociation
Landesman, R., Yoon, J., Kim, J., Lopez, D., Magis-Weinberg, L., Hiniker, A., and Davis, K.|2024|‘I Just Don’t Care Enough To Be Interested’: Teens’ Moment-By-Moment Experiences on Instagram|In Proceedings of the 23rd Annual ACM Interaction Design and Children Conference (IDC ‘24). Acceptance rate: 29%|https://faculty.washington.edu/alexisr/instagramWellbeing.pdf|wix:image://v1/a0f093_1978c4082c1941c3a775002d1c1583f6~mv2.png/appMinder.png#originWidth=328&originHeight=349||instagramWellbeing
Fu, Y., Xuhai, X., Foell, S., and Hiniker, A.|2024|From Text to Self: Users’ Perception of AIMC Tools on Interpersonal Communication and Self|Proceedings of the ACM Conference on Human Factors in Computing Systems (CHI ’24). Acceptance rate: 26%|https://faculty.washington.edu/alexisr/aimc.pdf|wix:image://v1/a0f093_a5d7437ddaa6422c9ddd732a333bd613~mv2.png/aimcPrototype.png#originWidth=819&originHeight=652|Best paper award (top 1%)|aimc
